customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,36.22,0.0,No
5575-GNVDE,Male,0,No,No,31,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,61.16,1895.96,Yes
3668-QPYBK,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,60.79,60.79,No
7795-CFOCW,Male,0,No,No,43,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),47.02,2021.86,No
9237-HQITU,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.28,0.0,Yes
9305-CDSKC,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.51,710.57,Yes
1452-KIOVK,Male,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.95,1839.0,No
6713-OKOMC,Female,0,No,No,7,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,37.5,262.5,No
7892-POOKP,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.81,2964.87,Yes
6388-TABGU,Male,0,No,Yes,60,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),60.02,3601.2,No
9763-GRSKD,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,52.89,528.9,No
7469-LKBCI,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.98,363.72,No
8091-TTVAX,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),102.77,5857.89,No
0280-XJGEX,Male,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.48,5051.56,Yes
5129-JLPIS,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.59,2344.98,No
3655-SNQYZ,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),116.29,7791.43,No
8191-XWSZG,Female,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.67,1355.83,No
