customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,34.25,0.0,No
5575-GNVDE,Male,0,No,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,58.63,1758.9,Yes
3668-QPYBK,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.5,54.5,Yes
7795-CFOCW,Male,0,No,No,43,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),44.88,1929.84,No
9237-HQITU,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.26,0.0,Yes
9305-CDSKC,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,521.0,Yes
1452-KIOVK,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.83,1527.11,No
6713-OKOMC,Female,0,No,No,6,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,35.43,212.58,No
7892-POOKP,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.14,2523.36,Yes
6388-TABGU,Male,0,No,Yes,57,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),58.03,3307.71,No
9763-GRSKD,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,54.17,541.7,No
7469-LKBCI,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.25,302.25,No
8091-TTVAX,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),103.75,5913.75,No
