customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,32.59,0.0,No
5575-GNVDE,Male,0,No,No,32,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,60.79,1945.28,No
3668-QPYBK,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.87,54.87,Yes
7795-CFOCW,Male,0,No,No,43,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),45.17,1942.31,No
9237-HQITU,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.74,0.0,Yes
9305-CDSKC,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.88,504.4,Yes
1452-KIOVK,Male,0,No,Yes,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.04,1911.84,No
6713-OKOMC,Female,0,No,No,7,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,33.33,233.31,No
7892-POOKP,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.95,2833.65,Yes
6388-TABGU,Male,0,No,Yes,59,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),60.11,3546.49,No
9763-GRSKD,Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,53.04,636.48,No
7469-LKBCI,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.39,285.46,No
